district,weredacode,zone,region,lat,lng,bbox,elevation,slope,soc,soilph
Anchar,6,West Hararge,Oromiya,9.0594,40.8698,"[40.8398, 9.0294, 40.8998, 9.0894]",1987.788373,14.56373345,4.209042553,6.794046986
Babile,4,East Hararge,Oromiya,9.2221,42.3345,"[42.3045, 9.1921, 42.3645, 9.2521]",1587.639275,6.363409094,2.775420565,7.140890324
Bedeno,13,East Hararge,Oromiya,9.1911,41.6921,"[41.6621, 9.1611, 41.7221, 9.2211]",2268.499775,17.39597977,6.421928515,6.174124001
Boke,10,West Hararge,Oromiya,9.3268,41.1677,"[41.1377, 9.2968, 41.1977, 9.3568]",1741.622606,13.50464281,3.68506978,6.935315545
Chinaksen,15,East Hararge,Oromiya,9.5,42.4333,"[42.4033, 9.47, 42.4633, 9.53]",1954.993175,14.70455852,3.583871251,7.241808282
Chiro Zuria,13,West Hararge,Oromiya,9.1342,40.8731,"[40.8431, 9.1042, 40.9031, 9.1642]",1691.303888,9.000135696,2.749994511,7.198074516
Daro Lebu,9,West Hararge,Oromiya,9.4076,41.2648,"[41.2348, 9.3776, 41.2948, 9.4376]",1735.394937,16.02892345,3.82099416,7.001879419
Deder,11,East Hararge,Oromiya,9.3006,41.4523,"[41.4223, 9.2706, 41.4823, 9.3306]",2261.227658,14.44057699,4.552318433,6.757306578
Dire Dawa,1,DD,DireDawa,9.654,41.924,"[41.894, 9.624, 41.954, 9.684]",1155.142512,7.36825278,1.935819487,7.97831164
Doba,2,West Hararge,Oromiya,9.1016,40.8344,"[40.8044, 9.0716, 40.8644, 9.1316]",1734.929272,8.789017587,2.799121748,7.199176638
Fedis,5,East Hararge,Oromiya,9.1783,42.0586,"[42.0286, 9.1483, 42.0886, 9.2083]",1750.060812,3.635454585,3.15066087,7.312207439
Gemechis,12,West Hararge,Oromiya,9.0793,40.7971,"[40.7671, 9.0493, 40.8271, 9.1093]",1867.46603,12.09967058,3.350876037,7.109759364
Girawa,16,East Hararge,Oromiya,9.4322,41.7225,"[41.6925, 9.4022, 41.7525, 9.4622]",2285.331317,15.81181554,3.960150709,6.77262633
Goba Koricha,7,West Hararge,Oromiya,9.2795,40.9093,"[40.8793, 9.2495, 40.9393, 9.3095]",1417.364854,7.54043437,2.749214855,7.635991479
Golo Oda,17,East Hararge,Oromiya,9.1597,42.6474,"[42.6174, 9.1297, 42.6774, 9.1897]",1421.122427,3.427249641,2.246519085,7.123092634
Goro Gutu,10,East Hararge,Oromiya,9.4167,41,"[40.97, 9.3867, 41.03, 9.4467]",1194.336373,8.251300692,3.03292434,7.547801752
Gursum,3,East Hararge,Oromiya,9.2,42.1,"[42.07, 9.17, 42.13, 9.23]",1823.97917,3.834427684,3.842627558,7.421728726
Habro,8,West Hararge,Oromiya,8.9829,40.8712,"[40.8412, 8.9529, 40.9012, 9.0129]",2308.478846,17.19022328,5.864969271,6.196450834
Harar,1,Harer,Harari,9.249,42.188,"[42.158, 9.219, 42.218, 9.279]",1539.537518,7.432373923,2.955234039,7.226839817
Haro Maya,6,East Hararge,Oromiya,9.4081,41.9858,"[41.9558, 9.3781, 42.0158, 9.4381]",2071.279522,4.843828308,3.901201818,7.3949436
Hawi Gudina,15,West Hararge,Oromiya,9.3879,41.0151,"[40.9851, 9.3579, 41.0451, 9.4179]",1444.749347,12.57091385,3.824620721,7.125345248
Jarso,2,East Hararge,Oromiya,9.55,42,"[41.97, 9.52, 42.03, 9.58]",1644.629559,10.27081422,2.925681908,7.503871832
Kersa,8,East Hararge,Oromiya,9.51,41.66,"[41.63, 9.48, 41.69, 9.54]",1678.42357,17.24721571,4.041626416,7.229489769
Kombolcha,1,East Hararge,Oromiya,9.4365,41.0829,"[41.0529, 9.4065, 41.1129, 9.4665]",1415.555263,16.7864125,4.114431247,7.00944958
Kuni,11,West Hararge,Oromiya,9.2565,41.0212,"[40.9912, 9.2265, 41.0512, 9.2865]",1800.9681,14.16528127,3.191648188,7.001319516
Kurfa Chele,7,East Hararge,Oromiya,9.5,42.2,"[42.17, 9.47, 42.23, 9.53]",2283.819564,15.65785636,4.172872574,7.054911302
Malka Balo,12,East Hararge,Oromiya,9.1851,42.0441,"[42.0141, 9.1551, 42.0741, 9.2151]",1727.994881,4.175463746,2.951130319,7.151804078
Mesela,4,West Hararge,Oromiya,9.215,41.0031,"[40.9731, 9.185, 41.0331, 9.245]",1829.191764,10.74267328,3.618314745,7.011308949
Meta,9,East Hararge,Oromiya,9.312,41.8352,"[41.8052, 9.282, 41.8652, 9.342]",1997.420081,9.813259424,3.187034574,7.161821809
Meyu,18,East Hararge,Oromiya,9.3112,42.8837,"[42.8537, 9.2812, 42.9137, 9.3412]",1760.663546,3.134772973,2.066982914,7.658545263
Midega Tola,14,East Hararge,Oromiya,9.3583,42.1122,"[42.0822, 9.3283, 42.1422, 9.3883]",2017.81641,5.202921367,3.706626268,6.859697888
Mieso,1,West Hararge,Oromiya,9.2202,40.7548,"[40.7248, 9.1902, 40.7848, 9.2502]",1358.516833,3.270880872,2.535984017,7.951486344
Tulo,3,West Hararge,Oromiya,9.2567,40.8432,"[40.8132, 9.2267, 40.8732, 9.2867]",1341.770325,3.737298978,2.669381751,7.720896637
